Rk,Gcar,Gtm,Date,Team,Unnamed: 5,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,SEASON_END,PLAYER_NAME
71,260,78,2024-04-07,NYK,@,MIL,"W, 122-109",,04:57,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,5,2024,Precious Achiuwa
72,261,80,2024-04-11,NYK,@,BOS,"W, 118-109",,16:02,1.0,6.0,.167,0.0,1.0,.000,1.0,5.0,.200,.167,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,2.0,0.2,-9,2024,Precious Achiuwa
73,262,81,2024-04-12,NYK,,BRK,"W, 111-107",,07:34,2.0,2.0,1.000,1.0,1.0,1.000,1.0,1.0,1.000,1.250,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.3,3,2024,Precious Achiuwa
74,263,82,2024-04-14,NYK,,CHI,"W, 120-119 (OT)",,18:30,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,1.0,4.0,5.0,2.0,0.0,1.0,2.0,3.0,4.0,3.5,-2,2024,Precious Achiuwa
1,264,22,2024-12-05,NYK,,CHO,"W, 125-101",,12:15,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,0.0,2.0,.000,2.0,2.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,-1.3,11,2025,Precious Achiuwa
2,265,23,2024-12-07,NYK,,DET,"L, 111-120",,27:44,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,2.0,5.0,.400,1.0,9.0,10.0,4.0,1.0,1.0,1.0,1.0,6.0,10.0,9,2025,Precious Achiuwa
3,266,24,2024-12-09,NYK,@,TOR,"W, 113-108",,16:14,3.0,7.0,.429,0.0,0.0,,3.0,7.0,.429,.429,1.0,1.0,1.000,2.0,4.0,6.0,0.0,0.0,2.0,0.0,1.0,7.0,6.9,5,2025,Precious Achiuwa
4,267,25,2024-12-11,NYK,,ATL,"L, 100-108",,18:35,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,1.0,4.0,5.0,1.0,2.0,2.0,1.0,0.0,2.0,6.0,-4,2025,Precious Achiuwa
5,268,26,2024-12-15,NYK,@,ORL,"W, 100-91",,17:31,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,2.0,2.0,1.000,1.0,4.0,5.0,0.0,1.0,0.0,0.0,2.0,4.0,4.4,-4,2025,Precious Achiuwa
6,269,27,2024-12-19,NYK,@,MIN,"W, 133-107",*,27:48,6.0,9.0,.667,1.0,1.0,1.000,5.0,8.0,.625,.722,0.0,0.0,,3.0,7.0,10.0,2.0,1.0,0.0,1.0,2.0,13.0,13.9,-4,2025,Precious Achiuwa
7,270,28,2024-12-21,NYK,@,NOP,"W, 104-93",,11:54,1.0,4.0,.250,0.0,0.0,,1.0,4.0,.250,.250,0.0,0.0,,5.0,2.0,7.0,1.0,0.0,1.0,1.0,2.0,2.0,3.3,-13,2025,Precious Achiuwa
8,271,29,2024-12-23,NYK,,TOR,"W, 139-125",,22:09,2.0,7.0,.286,1.0,2.0,.500,1.0,5.0,.200,.357,0.0,0.0,,2.0,5.0,7.0,2.0,1.0,1.0,1.0,3.0,5.0,4.7,-4,2025,Precious Achiuwa
9,272,30,2024-12-25,NYK,,SAS,"W, 117-114",,20:18,2.0,5.0,.400,1.0,3.0,.333,1.0,2.0,.500,.500,0.0,0.0,,4.0,6.0,10.0,1.0,1.0,1.0,0.0,0.0,5.0,9.3,14,2025,Precious Achiuwa
10,273,31,2024-12-27,NYK,@,ORL,"W, 108-85",,20:38,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,2.0,4.0,.500,3.0,3.0,6.0,1.0,1.0,1.0,3.0,1.0,6.0,6.6,7,2025,Precious Achiuwa
11,274,32,2024-12-28,NYK,@,WAS,"W, 136-132 (OT)",,19:00,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,1.0,1.0,1.000,2.0,5.0,7.0,2.0,0.0,0.0,2.0,1.0,3.0,3.2,6,2025,Precious Achiuwa
12,275,33,2024-12-30,NYK,@,WAS,"W, 126-106",,19:22,2.0,2.0,1.000,1.0,1.0,1.000,1.0,1.0,1.000,1.250,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,5.0,4.5,-2,2025,Precious Achiuwa
13,276,34,2025-01-01,NYK,,UTA,"W, 119-103",,13:14,5.0,8.0,.625,1.0,1.0,1.000,4.0,7.0,.571,.688,1.0,2.0,.500,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,12.0,10.2,15,2025,Precious Achiuwa
14,277,35,2025-01-03,NYK,@,OKC,"L, 107-117",,07:57,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,1.0,2.0,.500,2.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,1.5,-3,2025,Precious Achiuwa
15,278,36,2025-01-04,NYK,@,CHI,"L, 126-139",,26:51,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,1.0,2.0,.500,2.0,3.0,5.0,0.0,1.0,0.0,1.0,1.0,5.0,5.9,-3,2025,Precious Achiuwa
16,279,37,2025-01-06,NYK,,ORL,"L, 94-103",,22:27,5.0,6.0,.833,0.0,0.0,,5.0,6.0,.833,.833,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,10.0,6.6,-14,2025,Precious Achiuwa
17,280,38,2025-01-08,NYK,,TOR,"W, 112-98",,15:14,3.0,5.0,.600,0.0,1.0,.000,3.0,4.0,.750,.600,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,6.0,6.3,-2,2025,Precious Achiuwa
18,281,39,2025-01-10,NYK,,OKC,"L, 101-126",,05:48,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,-16,2025,Precious Achiuwa
19,282,40,2025-01-12,NYK,,MIL,"W, 140-106",,14:54,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,0.0,0.0,,0.0,3.0,3.0,1.0,2.0,0.0,0.0,3.0,4.0,5.8,8,2025,Precious Achiuwa
20,283,41,2025-01-13,NYK,,DET,"L, 119-124",,09:38,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,3.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,2.3,-8,2025,Precious Achiuwa
21,284,42,2025-01-15,NYK,@,PHI,"W, 125-119 (OT)",,30:08,4.0,6.0,.667,0.0,0.0,,4.0,6.0,.667,.667,2.0,4.0,.500,2.0,4.0,6.0,1.0,1.0,3.0,1.0,2.0,10.0,11.2,9,2025,Precious Achiuwa
22,285,43,2025-01-17,NYK,,MIN,"L, 99-116",,35:30,3.0,10.0,.300,0.0,0.0,,3.0,10.0,.300,.300,0.0,0.0,,4.0,5.0,9.0,3.0,1.0,3.0,0.0,3.0,6.0,8.5,-3,2025,Precious Achiuwa
23,286,44,2025-01-20,NYK,,ATL,"W, 119-110",,16:49,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,2.0,3.0,5.0,2.0,2.0,0.0,1.0,1.0,2.0,5.3,4,2025,Precious Achiuwa
24,287,45,2025-01-21,NYK,@,BRK,"W, 99-95",,17:43,5.0,7.0,.714,1.0,2.0,.500,4.0,5.0,.800,.786,0.0,0.0,,0.0,4.0,4.0,1.0,1.0,0.0,1.0,2.0,11.0,9.2,-5,2025,Precious Achiuwa
25,288,46,2025-01-25,NYK,,SAC,"W, 143-120",,17:55,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,1.0,4.0,5.0,0.0,2.0,1.0,0.0,0.0,4.0,7.3,27,2025,Precious Achiuwa
26,289,47,2025-01-27,NYK,,MEM,"W, 143-106",,20:28,6.0,9.0,.667,1.0,1.0,1.000,5.0,8.0,.625,.722,1.0,2.0,.500,2.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,14.0,15.7,9,2025,Precious Achiuwa
27,290,48,2025-01-29,NYK,,DEN,"W, 122-112",,25:39,4.0,8.0,.500,0.0,0.0,,4.0,8.0,.500,.500,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,8.0,4.5,4,2025,Precious Achiuwa
28,291,49,2025-02-01,NYK,,LAL,"L, 112-128",,29:29,6.0,12.0,.500,0.0,1.0,.000,6.0,11.0,.545,.500,3.0,3.0,1.000,7.0,8.0,15.0,3.0,1.0,0.0,1.0,3.0,15.0,17.2,-5,2025,Precious Achiuwa
29,292,50,2025-02-03,NYK,,HOU,"W, 124-118",*,34:28,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,3.0,4.0,.750,3.0,6.0,9.0,0.0,2.0,0.0,0.0,1.0,7.0,10.8,4,2025,Precious Achiuwa
30,293,51,2025-02-04,NYK,@,TOR,"W, 121-115",*,36:20,7.0,11.0,.636,1.0,3.0,.333,6.0,8.0,.750,.682,2.0,2.0,1.000,6.0,2.0,8.0,2.0,3.0,2.0,3.0,6.0,17.0,17.3,-14,2025,Precious Achiuwa
31,294,52,2025-02-08,NYK,,BOS,"L, 104-131",*,33:18,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,1.0,2.0,.500,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,3.0,3.2,-37,2025,Precious Achiuwa
32,295,53,2025-02-11,NYK,@,IND,"W, 128-115",*,33:17,3.0,8.0,.375,0.0,1.0,.000,3.0,7.0,.429,.375,3.0,4.0,.750,5.0,7.0,12.0,2.0,0.0,1.0,1.0,0.0,9.0,10.9,-2,2025,Precious Achiuwa
33,296,54,2025-02-12,NYK,,ATL,"W, 149-148 (OT)",*,42:22,12.0,16.0,.750,0.0,1.0,.000,12.0,15.0,.800,.750,2.0,3.0,.667,3.0,5.0,8.0,1.0,1.0,2.0,0.0,2.0,26.0,25.1,2,2025,Precious Achiuwa
34,297,55,2025-02-20,NYK,,CHI,"W, 113-111 (OT)",*,46:04,5.0,11.0,.455,1.0,3.0,.333,4.0,8.0,.500,.500,0.0,0.0,,0.0,9.0,9.0,0.0,3.0,0.0,1.0,2.0,11.0,9.2,0,2025,Precious Achiuwa
35,298,56,2025-02-21,NYK,@,CLE,"L, 105-142",*,27:35,3.0,10.0,.300,0.0,0.0,,3.0,10.0,.300,.300,1.0,2.0,.500,5.0,5.0,10.0,1.0,0.0,0.0,1.0,1.0,7.0,5.1,-25,2025,Precious Achiuwa
36,299,57,2025-02-23,NYK,@,BOS,"L, 105-118",,14:37,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,-0.4,-9,2025,Precious Achiuwa
37,300,58,2025-02-26,NYK,,PHI,"W, 110-105",,30:56,3.0,6.0,.500,0.0,0.0,,3.0,6.0,.500,.500,1.0,2.0,.500,2.0,4.0,6.0,2.0,0.0,4.0,2.0,2.0,7.0,7.6,3,2025,Precious Achiuwa
38,301,59,2025-02-28,NYK,@,MEM,"W, 114-113",,04:21,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,1.0,1.0,1.000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.9,0,2025,Precious Achiuwa
39,302,61,2025-03-04,NYK,,GSW,"L, 102-114",,30:02,4.0,10.0,.400,0.0,1.0,.000,4.0,9.0,.444,.400,0.0,0.0,,4.0,11.0,15.0,0.0,0.0,1.0,0.0,2.0,8.0,8.6,-2,2025,Precious Achiuwa
40,303,63,2025-03-07,NYK,@,LAC,"L, 95-105",,16:04,4.0,6.0,.667,0.0,0.0,,4.0,6.0,.667,.667,1.0,1.0,1.000,1.0,4.0,5.0,2.0,0.0,1.0,0.0,0.0,9.0,10.4,3,2025,Precious Achiuwa
41,304,64,2025-03-10,NYK,@,SAC,"W, 133-104",,05:00,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.6,-3,2025,Precious Achiuwa
42,305,65,2025-03-12,NYK,@,POR,"W, 114-113 (OT)",,08:50,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-4,2025,Precious Achiuwa
43,306,66,2025-03-15,NYK,@,GSW,"L, 94-97",,10:22,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.4,-3,2025,Precious Achiuwa
44,307,67,2025-03-17,NYK,,MIA,"W, 116-95",,10:01,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,3.2,10,2025,Precious Achiuwa
45,308,68,2025-03-19,NYK,@,SAS,"L, 105-120",,07:09,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.7,-14,2025,Precious Achiuwa
46,309,69,2025-03-20,NYK,@,CHO,"L, 98-115",,17:18,1.0,5.0,.200,0.0,2.0,.000,1.0,3.0,.333,.200,0.0,2.0,.000,2.0,4.0,6.0,0.0,1.0,0.0,2.0,3.0,2.0,-1.5,-5,2025,Precious Achiuwa
47,310,70,2025-03-22,NYK,,WAS,"W, 122-103",,11:52,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,3.0,2.0,5.0,2.0,0.0,0.0,1.0,0.0,4.0,5.8,11,2025,Precious Achiuwa
48,311,71,2025-03-25,NYK,,DAL,"W, 128-113",,19:31,5.0,7.0,.714,0.0,0.0,,5.0,7.0,.714,.714,1.0,1.0,1.000,0.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,11.0,10.8,-1,2025,Precious Achiuwa
49,312,72,2025-03-26,NYK,,LAC,"L, 113-126",,07:58,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,2.0,2.0,1.000,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2,2025,Precious Achiuwa
50,313,73,2025-03-28,NYK,@,MIL,"W, 116-107",,06:25,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,9,2025,Precious Achiuwa
51,314,74,2025-03-30,NYK,,POR,"W, 110-93",,10:54,5.0,6.0,.833,0.0,0.0,,5.0,6.0,.833,.833,0.0,2.0,.000,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,10.0,5.6,-2,2025,Precious Achiuwa
52,315,75,2025-04-01,NYK,,PHI,"W, 105-91",,27:16,1.0,11.0,.091,0.0,0.0,,1.0,11.0,.091,.091,0.0,2.0,.000,3.0,6.0,9.0,1.0,1.0,1.0,2.0,1.0,2.0,-2.2,8,2025,Precious Achiuwa
53,316,76,2025-04-02,NYK,@,CLE,"L, 105-124",,21:26,5.0,9.0,.556,0.0,0.0,,5.0,9.0,.556,.556,3.0,4.0,.750,2.0,4.0,6.0,1.0,1.0,2.0,0.0,1.0,13.0,13.6,-10,2025,Precious Achiuwa
54,317,77,2025-04-05,NYK,@,ATL,"W, 121-105",,25:18,3.0,8.0,.375,0.0,0.0,,3.0,8.0,.375,.375,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,6.0,2.5,-10,2025,Precious Achiuwa
55,318,80,2025-04-10,NYK,@,DET,"L, 106-115",*,39:44,8.0,13.0,.615,1.0,4.0,.250,7.0,9.0,.778,.654,1.0,1.0,1.000,1.0,9.0,10.0,3.0,2.0,3.0,0.0,3.0,18.0,20.5,-7,2025,Precious Achiuwa
56,319,81,2025-04-11,NYK,,CLE,"L, 102-108",,15:12,0.0,5.0,.000,0.0,0.0,,0.0,5.0,.000,.000,0.0,0.0,,0.0,6.0,6.0,0.0,2.0,1.0,1.0,2.0,0.0,-0.8,-9,2025,Precious Achiuwa
57,320,82,2025-04-13,NYK,@,BRK,"W, 113-105",*,32:46,8.0,18.0,.444,0.0,0.0,,8.0,18.0,.444,.444,2.0,4.0,.500,1.0,8.0,9.0,2.0,2.0,0.0,2.0,4.0,18.0,10.7,19,2025,Precious Achiuwa
1.0,321.0,8.0,2025-11-05,SAC,,GSW,"W, 121-116",,09:17,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,4.0,4.4,5,2026,Precious Achiuwa
2.0,322.0,9.0,2025-11-07,SAC,,OKC,"L, 101-132",,16:52,1.0,5.0,0.2,0.0,2.0,0.0,1.0,3.0,0.333,0.2,2.0,3.0,0.667,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,2.7,2,2026,Precious Achiuwa
