Game_Date,Game_Time,Name,Team,Opp,Proj_PTS,Proj_REB,Proj_AST,Total_PRA,Actual_PTS,Actual_REB,Actual_AST,Actual_PRA
2026-02-10,9:00 pm ET,Klay Thompson,Mavericks,Suns,0.0,0.0,0.0,0.0,,,,
2026-02-10,9:00 pm ET,Tyus Jones,Mavericks,Suns,0.0,0.0,0.0,0.0,,,,
2026-02-10,9:00 pm ET,D'Angelo Russell,Mavericks,Suns,0.0,0.0,0.0,0.0,,,,
2026-02-10,9:00 pm ET,Marvin Bagley III,Mavericks,Suns,0.0,0.0,0.0,0.0,,,,
2026-02-10,9:00 pm ET,P.J. Washington,Mavericks,Suns,0.0,0.0,0.0,0.0,,,,
2026-02-10,9:00 pm ET,Daniel Gafford,Mavericks,Suns,0.0,0.0,0.0,0.0,,,,
2026-02-10,9:00 pm ET,Brandon Williams,Mavericks,Suns,0.0,0.0,0.0,0.0,,,,
2026-02-10,9:00 pm ET,Jeremiah Robinson-Earl,Mavericks,Suns,0.0,0.0,0.0,0.0,,,,
2026-02-10,9:00 pm ET,Jaden Hardy,Mavericks,Suns,0.0,0.0,0.0,0.0,,,,
2026-02-10,9:00 pm ET,AJ Johnson,Mavericks,Suns,0.0,0.0,0.0,0.0,,,,
2026-02-10,9:00 pm ET,Miles Kelly,Mavericks,Suns,0.0,0.0,0.0,0.0,,,,
2026-02-10,9:00 pm ET,Amir Coffey,Suns,Mavericks,0.0,0.0,0.0,0.0,,,,
2026-02-10,9:00 pm ET,Nick Richards,Suns,Mavericks,0.0,0.0,0.0,0.0,,,,
2026-02-10,9:00 pm ET,Jamaree Bouyea,Suns,Mavericks,0.0,0.0,0.0,0.0,,,,
