Name,Team,Opp,Game_Date,Game_Time,Proj_PTS,Proj_REB,Proj_AST,Total_PRA
Tidjane Salaun,Hornets,Nuggets,2026-01-18,8:00 pm ET,3.2,2.64,0.48,6.32
Liam McNeeley,Hornets,Nuggets,2026-01-18,8:00 pm ET,2.33,1.34,0.56,4.23
Pat Connaughton,Hornets,Nuggets,2026-01-18,8:00 pm ET,2.41,1.05,0.51,3.96
Deni Avdija,Blazers,Kings,2026-01-18,9:00 pm ET,27.19,5.73,6.79,39.71
DeMar DeRozan,Kings,Blazers,2026-01-18,9:00 pm ET,22.5,3.25,4.77,30.52
Russell Westbrook,Kings,Blazers,2026-01-18,9:00 pm ET,17.27,4.81,6.91,29.0
Shaedon Sharpe,Blazers,Kings,2026-01-18,9:00 pm ET,20.49,4.7,3.6,28.79
Domantas Sabonis,Kings,Blazers,2026-01-18,9:00 pm ET,15.92,8.04,2.93,26.89
Jerami Grant,Blazers,Kings,2026-01-18,9:00 pm ET,17.61,4.69,2.56,24.86
Zach LaVine,Kings,Blazers,2026-01-18,9:00 pm ET,17.6,4.03,2.48,24.11
Caleb Love,Blazers,Kings,2026-01-18,9:00 pm ET,16.11,4.16,3.5,23.76
Dennis Schroder,Kings,Blazers,2026-01-18,9:00 pm ET,13.97,3.23,5.32,22.53
Donovan Clingan,Blazers,Kings,2026-01-18,9:00 pm ET,10.53,9.51,2.47,22.51
Keegan Murray,Kings,Blazers,2026-01-18,9:00 pm ET,14.71,4.53,1.9,21.14
Toumani Camara,Blazers,Kings,2026-01-18,9:00 pm ET,14.03,4.56,2.49,21.09
Maxime Raynaud,Kings,Blazers,2026-01-18,9:00 pm ET,10.11,5.44,1.47,17.02
Precious Achiuwa,Kings,Blazers,2026-01-18,9:00 pm ET,9.29,5.81,1.46,16.57
Kris Murray,Blazers,Kings,2026-01-18,9:00 pm ET,8.23,3.9,1.59,13.72
Dylan Cardwell,Kings,Blazers,2026-01-18,9:00 pm ET,5.5,5.78,0.7,11.99
Robert Williams III,Blazers,Kings,2026-01-18,9:00 pm ET,5.66,4.8,1.42,11.88
Sidy Cissoko,Blazers,Kings,2026-01-18,9:00 pm ET,6.53,2.68,1.55,10.76
Rayan Rupert,Blazers,Kings,2026-01-18,9:00 pm ET,6.26,2.53,1.71,10.51
Malik Monk,Kings,Blazers,2026-01-18,9:00 pm ET,6.38,1.89,1.32,9.59
Nique Clifford,Kings,Blazers,2026-01-18,9:00 pm ET,4.61,2.12,0.65,7.38
Keon Ellis,Kings,Blazers,2026-01-18,9:00 pm ET,3.51,1.8,0.58,5.89
Hansen Yang,Blazers,Kings,2026-01-18,9:00 pm ET,3.17,1.73,0.91,5.82
Drew Eubanks,Kings,Blazers,2026-01-18,9:00 pm ET,2.97,1.74,0.39,5.1
Luka Doncic,Lakers,Raptors,2026-01-18,9:30 pm ET,28.74,6.53,7.86,43.13
LeBron James,Lakers,Raptors,2026-01-18,9:30 pm ET,25.31,6.26,7.03,38.6
Austin Reaves,Lakers,Raptors,2026-01-18,9:30 pm ET,22.72,4.37,6.45,33.54
Scottie Barnes,Raptors,Lakers,2026-01-18,9:30 pm ET,20.49,6.95,4.64,32.08
Immanuel Quickley,Raptors,Lakers,2026-01-18,9:30 pm ET,19.85,4.19,5.18,29.22
RJ Barrett,Raptors,Lakers,2026-01-18,9:30 pm ET,19.41,5.27,2.71,27.38
